Date,Price
2015/11/24,142.11,
2015/11/23,142.50,
2015/11/20,143.05,
2015/11/19,142.59,
2015/11/18,141.70,
2015/11/17,142.18,
2015/11/16,142.56,
2015/11/13,142.36,
2015/11/12,143.61,
2015/11/11,144.71,
2015/11/10,145.61,
2015/11/09,146.11,
2015/11/06,146.41,
2015/11/05,146.56,
2015/11/04,147.60,
2015/11/03,146.92,
2015/11/02,146.64,
2015/10/30,146.84,
2015/10/29,145.70,
2015/10/28,146.44,
2015/10/27,146.56,
2015/10/26,147.19,
2015/10/23,146.81,
2015/10/22,146.37,
2015/10/21,145.75,
2015/10/20,144.86,
2015/10/19,145.33,
2015/10/16,145.48,
2015/10/15,145.64,
2015/10/14,145.39,
2015/10/13,145.20,
2015/10/12,146.66,
2015/10/09,147.13,
2015/10/08,145.14,
2015/10/07,145.54,
2015/10/06,144.57,
2015/10/05,143.55,
2015/10/02,142.49,
2015/10/01,141.31,
2015/09/30,140.41,
2015/09/29,141.18,
2015/09/28,141.65,
2015/09/25,142.79,
2015/09/23,142.58,
2015/09/22,141.93,
2015/09/21,143.05,
2015/09/18,142.62,
2015/09/17,143.53,
2015/09/16,142.94,
2015/09/15,145.71,
2015/09/14,145.97,
2015/09/11,146.60,
2015/09/10,146.66,
2015/09/09,146.44,
2015/09/08,147.04,
2015/09/07,147.45,
2015/09/04,147.45,
2015/09/03,146.45,
2015/09/02,146.13,
2015/09/01,146.54,
2015/08/31,146.53,
2015/08/28,145.55,
2015/08/27,144.16,
2015/08/26,143.84,
2015/08/25,144.61,
2015/08/24,145.42,
2015/08/21,146.90,
2015/08/20,147.09,
2015/08/19,145.79,
2015/08/18,145.83,
2015/08/17,146.06,
2015/08/14,146.00,
2015/08/13,146.03,
2015/08/12,145.83,
2015/08/11,146.44,
2015/08/07,145.92,
2015/08/06,145.62,
2015/08/05,145.83,
2015/08/04,145.75,
2015/08/03,146.00,
2015/07/31,146.12,
2015/07/30,145.58,
2015/07/29,145.07,
2015/07/28,145.52,
2015/07/27,146.06,
2015/07/24,146.21,
2015/07/23,146.67,
2015/07/22,146.00,
2015/07/21,146.62,
2015/07/20,146.85,
2015/07/17,147.44,
2015/07/16,147.22,
2015/07/15,147.66,
2015/07/14,147.38,
2015/07/13,147.17,
2015/07/10,147.11,
2015/07/09,147.46,
2015/07/08,146.70,
2015/07/07,147.95,
2015/07/06,148.14,
2015/07/03,148.49,
2015/07/02,148.44,
2015/07/01,148.03,
2015/06/30,149.64,
2015/06/29,149.32,
2015/06/26,149.82,
2015/06/25,150.25,
2015/06/24,150.37,
2015/06/23,150.55,
2015/06/22,150.83,
2015/06/19,150.68,
2015/06/18,151.08,
2015/06/17,151.05,
2015/06/15,152.19,
2015/06/12,153.27,
2015/06/11,153.12,
2015/06/10,153.30,
2015/06/09,153.46,
2015/06/08,153.70,
2015/06/05,153.42,
2015/06/04,153.47,
2015/06/03,153.73,
2015/06/02,153.46,
2015/06/01,153.31,
2015/05/29,153.88,
2015/05/28,153.86,
2015/05/27,153.33,
2015/05/26,153.57,
2015/05/25,154.16,
2015/05/22,154.35,
2015/05/21,154.47,
2015/05/20,154.96,
2015/05/19,154.24,
2015/05/18,154.50,
2015/05/15,154.15,
2015/05/14,154.22,
2015/05/13,154.62,
2015/05/12,154.30,
2015/05/11,154.32,
2015/05/08,154.02,
2015/05/07,153.80,
2015/05/06,154.75,
2015/05/05,155.38,
2015/05/04,154.33,
2015/04/30,153.92,
2015/04/29,154.34,
2015/04/28,155.53,
2015/04/24,154.66,
2015/04/23,153.72,
2015/04/22,153.34,
2015/04/21,153.22,
2015/04/20,152.65,
2015/04/17,153.21,
2015/04/16,153.52,
2015/04/15,152.64,
2015/04/14,152.42,
2015/04/13,153.09,
2015/04/10,152.16,
2015/04/09,151.21,
2015/04/08,151.14,
2015/04/07,150.87,
2015/04/02,150.85,
2015/04/01,150.78,
2015/03/31,150.63,
2015/03/30,149.95,
2015/03/27,149.62,
2015/03/26,150.20,
2015/03/25,150.68,
2015/03/24,151.53,
2015/03/23,151.55,
2015/03/20,151.46,
2015/03/19,151.63,
2015/03/18,150.89,
2015/03/17,151.05,
2015/03/16,151.23,
2015/03/13,150.69,
2015/03/12,150.52,
2015/03/11,150.61,
2015/03/10,151.09,
2015/03/09,151.80,
2015/03/06,152.26,
2015/03/05,152.24,
2015/03/04,152.77,
2015/03/03,152.59,
2015/03/02,152.69,
2015/02/27,151.89,
2015/02/26,152.09,
